time	price	ask	bid	equl	spread
2016-01-04 10:00:09	46.75	47.01	46.35	46.68	0.66
2016-01-04 10:00:15	46.75	47.01	46.35	46.68	0.66
2016-01-04 10:00:24	46.58	46.83	46.48	46.655	0.35
2016-01-04 10:01:17	46.68	58.38	35.07	46.725	23.31
2016-01-04 10:02:07	46.6	46.67	46.47	46.57	0.2
2016-01-04 10:02:08	46.525	46.79	46.41	46.6	0.38
2016-01-04 10:02:35	46.52	46.61	46.39	46.5	0.22
2016-01-04 10:03:11	46.4701	46.59	46.47	46.53	0.12
2016-01-04 10:03:23	46.57	46.72	46.34	46.53	0.38
2016-01-04 10:03:59	46.67	46.8	46.58	46.69	0.22
2016-01-04 10:04:05	46.59	46.76	46.59	46.675	0.17
2016-01-04 10:04:07	46.61	46.86	46.61	46.735	0.25
2016-01-04 10:04:19	46.62	46.74	46.5	46.62	0.24
2016-01-04 10:04:24	46.61	46.74	46.5	46.62	0.24
2016-01-04 10:04:26	46.58	46.86	46.51	46.685	0.35
2016-01-04 10:05:01	46.56	46.85	46.56	46.705	0.29
2016-01-04 10:05:05	46.61	46.79	43.07	44.93	3.72
2016-01-04 10:05:07	46.61	46.7	46.42	46.56	0.28
2016-01-04 10:06:36	46.56	46.66	46.56	46.61	0.1
2016-01-04 10:06:40	46.65	46.74	46.47	46.605	0.27
2016-01-04 10:07:58	46.6	46.76	43.07	44.915	3.69
2016-01-04 10:08:15	46.65	46.7	46.57	46.635	0.13
2016-01-04 10:08:57	46.64	46.86	46.27	46.565	0.59
2016-01-04 10:08:58	46.57	46.68	46.55	46.615	0.13
2016-01-04 10:09:21	46.66	46.86	46.27	46.565	0.59
2016-01-04 10:09:23	46.67	46.76	46.62	46.69	0.14
2016-01-04 10:09:25	46.62	46.72	46.62	46.67	0.1
2016-01-04 10:09:29	46.63	46.84	46.51	46.675	0.33
2016-01-04 10:09:41	46.64	46.77	46.63	46.7	0.14
2016-01-04 10:09:43	46.63	46.73	46.51	46.62	0.22
2016-01-04 10:10:02	46.7	46.72	46.63	46.675	0.09
2016-01-04 10:10:12	46.65	46.71	46.63	46.67	0.08
2016-01-04 10:10:15	46.64	46.71	46.4	46.555	0.31
2016-01-04 10:10:16	46.64	46.68	46.38	46.53	0.3
2016-01-04 10:11:21	46.63	47.04	46.22	46.63	0.82
2016-01-04 10:11:37	46.64	46.68	46.51	46.595	0.17
2016-01-04 10:12:37	46.59	46.86	46.38	46.62	0.48
2016-01-04 10:13:09	46.59	46.74	35.07	40.905	11.67
2016-01-04 10:13:21	46.61	46.73	46.52	46.625	0.21
2016-01-04 10:14:24	46.4975	46.54	46.43	46.485	0.11
2016-01-04 10:14:33	46.51	46.53	46.4	46.465	0.13
2016-01-04 10:14:41	46.51	46.8	46.45	46.625	0.35
2016-01-04 10:14:42	46.52	49.76	46.46	48.11	3.3
2016-01-04 10:14:45	46.55	49.76	46.52	48.14	3.24
2016-01-04 10:15:26	46.65	46.69	46.56	46.625	0.13
2016-01-04 10:15:31	46.67	46.85	46.59	46.72	0.26
2016-01-04 10:15:32	46.7175	46.85	35.07	40.96	11.78
2016-01-04 10:17:32	46.73	46.8	43.07	44.935	3.73
2016-01-04 10:17:34	46.75	46.75	46.69	46.72	0.06
2016-01-04 10:17:37	46.77	46.8	46.68	46.74	0.12
2016-01-04 10:18:07	46.69	46.95	46.45	46.7	0.5
2016-01-04 10:18:08	46.7	46.68	46.51	46.595	0.17
2016-01-04 10:18:47	46.645	46.77	46.59	46.68	0.18
2016-01-04 10:18:48	46.65	58.38	46.49	52.435	11.89
2016-01-04 10:18:51	46.7	46.81	46.62	46.715	0.19
2016-01-04 10:19:06	46.71	46.85	46.66	46.755	0.19
2016-01-04 10:19:11	46.69	46.81	43.07	44.94	3.74
2016-01-04 10:19:15	46.72	46.81	46.67	46.74	0.14
2016-01-04 10:20:44	46.85	46.97	46.8	46.885	0.17
2016-01-04 10:20:52	46.86	46.87	46.81	46.84	0.06
2016-01-04 10:21:02	46.87	46.96	46.82	46.89	0.14
2016-01-04 10:21:10	46.84	47.02	46.83	46.925	0.19
2016-01-04 10:21:14	46.84	46.95	46.83	46.89	0.12
2016-01-04 10:21:16	46.91	47.02	46.74	46.88	0.28
2016-01-04 10:21:52	46.91	47.06	46.53	46.795	0.53
2016-01-04 10:22:29	46.81	46.89	46.54	46.715	0.35
2016-01-04 10:22:30	46.74	46.82	46.61	46.715	0.21
2016-01-04 10:22:31	46.645	46.95	46.57	46.76	0.38
2016-01-04 10:22:36	46.67	46.95	46.51	46.73	0.44
2016-01-04 10:23:31	46.65	46.7	46.55	46.625	0.15
2016-01-04 10:24:05	46.58	46.66	46.42	46.54	0.24
2016-01-04 10:24:59	46.54	46.88	46.54	46.71	0.34
2016-01-04 10:25:24	46.61	46.62	46.44	46.53	0.18
2016-01-04 10:25:37	46.64	46.74	46.59	46.665	0.15
2016-01-04 10:26:14	46.73	46.81	46.54	46.675	0.27
2016-01-04 10:27:16	46.715	46.91	46.46	46.685	0.45
2016-01-04 10:28:02	46.69	46.74	46.67	46.705	0.07
2016-01-04 10:28:57	46.65	46.87	46.59	46.73	0.28
2016-01-04 10:28:58	46.645	46.87	46.49	46.68	0.38
2016-01-04 10:29:07	46.54	46.67	46.53	46.6	0.14
2016-01-04 10:29:11	46.6	46.78	46.39	46.585	0.39
2016-01-04 10:29:26	46.57	46.57	46.47	46.52	0.1
2016-01-04 10:29:27	46.51	46.64	46.5	46.57	0.14
2016-01-04 10:29:28	46.6	46.65	46.51	46.58	0.14
2016-01-04 10:30:19	46.56	46.62	46.52	46.57	0.1
2016-01-04 10:30:53	46.55	46.6	46.45	46.525	0.15
2016-01-04 10:30:54	46.52	46.57	46.46	46.515	0.11
2016-01-04 10:30:55	46.45	46.72	46.33	46.525	0.39
2016-01-04 10:30:59	46.52	46.55	46.45	46.5	0.1
2016-01-04 10:31:00	46.54	58.38	46.47	52.425	11.91
2016-01-04 10:31:59	46.46	46.51	46.0	46.255	0.51
2016-01-04 10:33:24	46.48	46.51	46.28	46.395	0.23
2016-01-04 10:33:48	46.46	46.62	43.55	45.085	3.07
2016-01-04 10:33:49	46.41	46.43	43.07	44.75	3.36
2016-01-04 10:34:22	46.41	46.42	46.33	46.375	0.09
2016-01-04 10:35:02	46.4	46.41	46.34	46.375	0.07
2016-01-04 10:35:09	46.34	46.41	46.07	46.24	0.34
2016-01-04 10:35:15	46.36	46.52	46.33	46.425	0.19
2016-01-04 10:37:23	46.35	46.52	35.07	40.795	11.45
2016-01-04 10:38:20	46.4	46.41	46.35	46.38	0.06
2016-01-04 10:38:44	46.41	46.44	46.36	46.4	0.08
2016-01-04 10:39:03	46.42	46.49	35.07	40.78	11.42
2016-01-04 10:39:15	46.45	58.38	35.07	46.725	23.31
2016-01-04 10:39:54	46.48	46.64	46.41	46.525	0.23
2016-01-04 10:40:22	46.46	46.45	46.31	46.38	0.14
2016-01-04 10:40:40	46.4	46.71	46.15	46.43	0.56
2016-01-04 10:41:59	46.41	46.72	46.36	46.54	0.36
2016-01-04 10:42:01	46.44	46.55	46.26	46.405	0.29
2016-01-04 10:42:35	46.46	46.55	46.3	46.425	0.25
2016-01-04 10:43:19	46.49	46.67	46.45	46.56	0.22
2016-01-04 10:43:22	46.54	49.76	46.34	48.05	3.42
2016-01-04 10:43:25	46.55	46.61	46.47	46.54	0.14
2016-01-04 10:43:26	46.52	46.62	46.37	46.495	0.25
2016-01-04 10:43:57	46.6	46.7	46.54	46.62	0.16
2016-01-04 10:44:07	46.58	46.8	46.55	46.675	0.25
2016-01-04 10:44:21	46.6	46.8	46.59	46.695	0.21
2016-01-04 10:44:26	46.58	46.72	43.07	44.895	3.65
2016-01-04 10:45:19	46.54	46.61	46.49	46.55	0.12
2016-01-04 10:45:47	46.55	46.72	46.18	46.45	0.54
2016-01-04 10:46:02	46.55	46.68	46.41	46.545	0.27
2016-01-04 10:46:07	46.55	46.56	46.36	46.46	0.2
2016-01-04 10:46:20	46.5501	46.61	46.47	46.54	0.14
2016-01-04 10:46:21	46.56	46.71	46.5	46.605	0.21
2016-01-04 10:47:30	46.505	58.38	35.07	46.725	23.31
2016-01-04 10:48:16	46.58	46.62	46.43	46.525	0.19
2016-01-04 10:48:25	46.59	46.69	46.43	46.56	0.26
2016-01-04 10:51:46	46.61	46.65	46.43	46.54	0.22
2016-01-04 10:51:47	46.62	46.63	46.43	46.53	0.2
2016-01-04 10:52:15	46.55	46.6	46.5	46.55	0.1
2016-01-04 10:52:27	46.55	46.8	46.3	46.55	0.5
2016-01-04 10:52:31	46.55	46.81	46.29	46.55	0.52
2016-01-04 10:52:57	46.55	46.81	46.29	46.55	0.52
2016-01-04 10:52:58	46.56	46.81	46.3	46.555	0.51
2016-01-04 10:53:43	46.576	46.6	46.55	46.575	0.05
2016-01-04 10:53:52	46.555	46.58	46.51	46.545	0.07
2016-01-04 10:53:53	46.55	46.69	35.07	40.88	11.62
2016-01-04 10:53:54	46.55	46.57	46.5	46.535	0.07
2016-01-04 10:54:22	46.53	46.8	46.54	46.67	0.26
2016-01-04 10:54:48	46.54	46.59	46.44	46.515	0.15
2016-01-04 10:55:01	46.53	46.66	46.44	46.55	0.22
2016-01-04 10:55:43	46.53	46.65	46.4	46.525	0.25
2016-01-04 10:55:44	46.52	46.54	46.4	46.47	0.14
2016-01-04 11:00:16	46.44	46.48	46.35	46.415	0.13
2016-01-04 11:01:04	46.39	46.44	46.34	46.39	0.1
2016-01-04 11:01:05	46.425	46.57	46.22	46.395	0.35
2016-01-04 11:01:44	46.43	46.47	46.3	46.385	0.17
2016-01-04 11:02:01	46.44	46.45	46.41	46.43	0.04
2016-01-04 11:03:06	46.395	46.52	43.07	44.795	3.45
2016-01-04 11:03:28	46.34	46.41	46.25	46.33	0.16
2016-01-04 11:03:43	46.37	46.41	46.25	46.33	0.16
2016-01-04 11:03:44	46.33	46.41	46.25	46.33	0.16
2016-01-04 11:04:45	46.36	46.42	35.07	40.745	11.35
2016-01-04 11:05:26	46.35	46.4	46.32	46.36	0.08
2016-01-04 11:05:39	46.33	46.42	46.3	46.36	0.12
2016-01-04 11:05:45	46.32	46.62	46.11	46.365	0.51
2016-01-04 11:05:46	46.36	46.62	46.11	46.365	0.51
2016-01-04 11:06:13	46.32	46.45	35.07	40.76	11.38
2016-01-04 11:06:26	46.32	46.37	46.22	46.295	0.15
2016-01-04 11:07:22	46.32	46.62	46.11	46.365	0.51
2016-01-04 11:07:28	46.32	46.62	46.11	46.365	0.51
2016-01-04 11:07:38	46.32	46.42	46.13	46.275	0.29
2016-01-04 11:08:00	46.31	46.63	46.24	46.435	0.39
2016-01-04 11:08:02	46.3	46.34	46.27	46.305	0.07
2016-01-04 11:08:07	46.33	46.37	46.28	46.325	0.09
2016-01-04 11:08:17	46.37	46.62	46.11	46.365	0.51
2016-01-04 11:08:18	46.36	46.43	35.07	40.75	11.36
2016-01-04 11:08:37	46.31	46.61	46.12	46.365	0.49
2016-01-04 11:09:27	46.31	46.42	46.31	46.365	0.11
2016-01-04 11:09:36	46.33	46.36	46.29	46.325	0.07
2016-01-04 11:09:43	46.3	46.34	46.2	46.27	0.14
2016-01-04 11:09:53	46.29	46.32	46.25	46.285	0.07
2016-01-04 11:09:59	46.25	46.39	43.07	44.73	3.32
