time	price	ask	bid	equl	spread
2016-01-04 10:00:10	46.75	46.86	46.75	46.805	0.11
2016-01-04 10:00:15	46.75	47.03	46.53	46.78	0.5
2016-01-04 10:00:25	46.58	47.08	46.56	46.82	0.52
2016-01-04 10:01:15	46.68	58.38	35.07	46.725	23.31
2016-01-04 10:02:05	46.6	46.67	46.47	46.57	0.2
2016-01-04 10:02:10	46.525	46.83	46.37	46.6	0.46
2016-01-04 10:02:35	46.52	46.61	46.39	46.5	0.22
2016-01-04 10:03:10	46.4701	46.59	46.47	46.53	0.12
2016-01-04 10:03:25	46.57	46.76	46.52	46.64	0.24
2016-01-04 10:04:00	46.67	46.76	46.59	46.675	0.17
2016-01-04 10:04:05	46.61	46.86	46.61	46.735	0.25
2016-01-04 10:04:20	46.62	46.86	46.27	46.565	0.59
2016-01-04 10:04:25	46.58	46.85	46.51	46.68	0.34
2016-01-04 10:05:00	46.56	46.86	46.28	46.57	0.58
2016-01-04 10:05:05	46.61	46.7	46.42	46.56	0.28
2016-01-04 10:06:35	46.56	46.74	46.44	46.59	0.3
2016-01-04 10:06:40	46.65	46.66	46.56	46.61	0.1
2016-01-04 10:08:00	46.6	46.66	35.07	40.865	11.59
2016-01-04 10:08:15	46.65	46.7	46.57	46.635	0.13
2016-01-04 10:08:55	46.64	46.86	46.27	46.565	0.59
2016-01-04 10:09:00	46.57	46.74	35.07	40.905	11.67
2016-01-04 10:09:20	46.66	46.77	46.58	46.675	0.19
2016-01-04 10:09:25	46.62	46.72	46.62	46.67	0.1
2016-01-04 10:09:30	46.63	46.77	46.63	46.7	0.14
2016-01-04 10:09:40	46.64	46.77	46.63	46.7	0.14
2016-01-04 10:09:45	46.63	46.73	46.6	46.665	0.13
2016-01-04 10:10:00	46.7	46.72	46.63	46.675	0.09
2016-01-04 10:10:10	46.65	46.71	46.63	46.67	0.08
2016-01-04 10:10:15	46.64	46.83	46.63	46.73	0.2
2016-01-04 10:11:20	46.63	46.79	46.5	46.645	0.29
2016-01-04 10:11:35	46.64	46.68	46.51	46.595	0.17
2016-01-04 10:12:35	46.59	46.86	46.38	46.62	0.48
2016-01-04 10:13:10	46.59	46.6	46.43	46.515	0.17
2016-01-04 10:13:20	46.61	46.66	46.5	46.58	0.16
2016-01-04 10:14:25	46.4975	46.71	46.4	46.555	0.31
2016-01-04 10:14:35	46.51	46.63	46.4	46.515	0.23
2016-01-04 10:14:40	46.52	49.76	46.46	48.11	3.3
2016-01-04 10:14:45	46.55	46.66	46.47	46.565	0.19
2016-01-04 10:15:25	46.65	46.69	46.56	46.625	0.13
2016-01-04 10:15:30	46.7175	46.85	35.07	40.96	11.78
2016-01-04 10:15:55	46.68	46.74	46.63	46.685	0.11
2016-01-04 10:17:30	46.73	46.8	43.07	44.935	3.73
2016-01-04 10:17:35	46.77	46.8	46.68	46.74	0.12
2016-01-04 10:18:05	46.69	46.95	46.45	46.7	0.5
2016-01-04 10:18:10	46.7	58.38	46.54	52.46	11.84
2016-01-04 10:18:45	46.645	46.77	46.59	46.68	0.18
2016-01-04 10:18:50	46.7	46.74	46.61	46.675	0.13
2016-01-04 10:19:05	46.71	46.84	46.66	46.75	0.18
2016-01-04 10:19:10	46.69	46.84	46.66	46.75	0.18
2016-01-04 10:19:15	46.72	46.92	46.69	46.805	0.23
2016-01-04 10:20:45	46.85	46.86	46.75	46.805	0.11
2016-01-04 10:20:50	46.86	46.87	46.81	46.84	0.06
2016-01-04 10:21:00	46.87	46.96	46.82	46.89	0.14
2016-01-04 10:21:10	46.84	46.91	46.84	46.875	0.07
2016-01-04 10:21:15	46.91	47.02	46.74	46.88	0.28
2016-01-04 10:21:50	46.91	47.06	46.53	46.795	0.53
2016-01-04 10:22:30	46.645	46.83	46.57	46.7	0.26
2016-01-04 10:22:35	46.67	46.83	35.07	40.95	11.76
2016-01-04 10:23:30	46.65	46.85	46.55	46.7	0.3
2016-01-04 10:24:05	46.58	46.67	46.46	46.565	0.21
2016-01-04 10:25:00	46.54	46.71	46.48	46.595	0.23
2016-01-04 10:25:25	46.61	46.62	46.44	46.53	0.18
2016-01-04 10:25:35	46.64	46.74	46.59	46.665	0.15
2016-01-04 10:26:15	46.73	46.8	46.68	46.74	0.12
2016-01-04 10:27:15	46.715	46.91	46.46	46.685	0.45
2016-01-04 10:28:00	46.69	46.74	46.67	46.705	0.07
2016-01-04 10:28:55	46.65	46.87	46.59	46.73	0.28
2016-01-04 10:29:00	46.645	46.67	46.49	46.58	0.18
2016-01-04 10:29:05	46.54	46.67	46.53	46.6	0.14
2016-01-04 10:29:10	46.6	46.63	46.4	46.515	0.23
2016-01-04 10:29:25	46.51	46.64	46.5	46.57	0.14
2016-01-04 10:29:30	46.6	46.7	35.07	40.885	11.63
2016-01-04 10:30:20	46.56	46.62	46.52	46.57	0.1
2016-01-04 10:30:55	46.45	46.54	46.43	46.485	0.11
2016-01-04 10:31:00	46.54	46.54	46.28	46.41	0.26
2016-01-04 10:32:00	46.46	46.52	46.43	46.475	0.09
2016-01-04 10:33:25	46.48	46.51	46.28	46.395	0.23
2016-01-04 10:33:50	46.41	49.76	46.22	47.99	3.54
2016-01-04 10:34:20	46.41	46.42	46.33	46.375	0.09
2016-01-04 10:35:00	46.4	46.41	46.34	46.375	0.07
2016-01-04 10:35:10	46.34	46.36	46.24	46.3	0.12
2016-01-04 10:35:15	46.36	46.52	46.22	46.37	0.3
2016-01-04 10:37:25	46.35	46.42	46.32	46.37	0.1
2016-01-04 10:38:20	46.4	46.41	46.34	46.375	0.07
2016-01-04 10:38:45	46.41	46.44	46.36	46.4	0.08
2016-01-04 10:39:05	46.42	46.55	35.07	40.81	11.48
2016-01-04 10:39:15	46.45	46.6	35.07	40.835	11.53
2016-01-04 10:39:55	46.48	46.64	35.07	40.855	11.57
2016-01-04 10:40:20	46.46	46.45	46.31	46.38	0.14
2016-01-04 10:40:40	46.4	46.71	46.15	46.43	0.56
2016-01-04 10:42:00	46.44	46.55	35.07	40.81	11.48
