DATE,TIME_M,EX,SYM_ROOT,SYM_SUFFIX,TR_SCOND,SIZE,PRICE,TR_STOPIND,TR_CORR,TR_SEQNUM,TR_SOURCE,TR_RF
20160104,8:57:57.901873,D,DORM,,@ TW,700,47.47,,00,3857,N,Q
20160104,9:30:00.456164,Q,DORM,,@O X,2227,46.9,,00,6486,N,
20160104,9:30:00.456232,Q,DORM,,Q,2227,46.9,,00,6488,N,
20160104,9:30:04.500686,D,DORM,,@4 I,1,46.9,,00,10881,N,Q
20160104,9:30:30.363303,D,DORM,,@F,100,46.785,,00,19493,N,Q
20160104,9:30:30.372452,D,DORM,,,200,46.7401,,00,19496,N,Q
20160104,9:30:55.734433,D,DORM,,I,1,46.9,,00,22702,N,Q
20160104,9:30:58.392330,D,DORM,,I,1,46.9,,00,23106,N,Q
20160104,9:31:02.029886,Q,DORM,,I,3,46.83,,00,24960,N,
20160104,9:31:08.226497,K,DORM,,@F I,50,46.78,,00,26027,N,
20160104,9:31:08.226519,K,DORM,,@F I,50,46.75,,00,26028,N,
20160104,9:31:18.888427,J,DORM,,@F I,2,47.19,,00,27598,N,
20160104,9:31:38.216042,Q,DORM,,,100,46.75,,00,30258,N,
20160104,9:31:38.216064,Q,DORM,,,100,46.75,,00,30259,N,
20160104,9:31:38.216078,Q,DORM,,@F,100,46.75,,00,30260,N,
20160104,9:31:38.216328,K,DORM,,@F I,51,46.75,,00,30262,N,
20160104,9:31:38.216721,P,DORM,,Q,100,46.79,,00,30264,N,
20160104,9:31:38.216754,P,DORM,,,100,46.79,,00,30265,N,
20160104,9:31:38.216849,P,DORM,,@F,100,46.79,,00,30266,N,
20160104,9:31:38.216888,P,DORM,,@F,100,46.79,,00,30267,N,
20160104,9:31:38.217105,P,DORM,,,100,46.75,,00,30269,N,
20160104,9:31:38.220094,Q,DORM,,@F,100,46.75,,00,30270,N,
20160104,9:31:38.227452,Q,DORM,,,100,46.74,,00,30272,N,
20160104,9:31:38.228265,Q,DORM,,,100,46.74,,00,30273,N,
20160104,9:31:38.228402,P,DORM,,,100,46.74,,00,30274,N,
20160104,9:31:38.228439,D,DORM,,,100,46.74,,00,30275,N,Q
20160104,9:31:38.228711,K,DORM,,@F I,50,46.73,,00,30276,N,
20160104,9:31:38.238679,K,DORM,,@F,100,46.73,,00,30277,N,
20160104,9:31:38.251002,K,DORM,,,150,46.73,,00,30278,N,
20160104,9:31:38.257378,D,DORM,,,100,46.65,,00,30279,N,Q
20160104,9:31:38.258234,Z,DORM,,,100,46.67,,00,30280,N,
20160104,9:31:38.331621,P,DORM,,,100,46.75,,00,30288,N,
20160104,9:31:38.347537,Q,DORM,,@F I,50,46.74,,00,30289,N,
20160104,9:31:38.347559,Q,DORM,,@F I,50,46.74,,00,30290,N,
20160104,9:31:38.347721,Q,DORM,,@F I,50,46.74,,00,30291,N,
20160104,9:31:38.347746,Q,DORM,,@F I,50,46.74,,00,30292,N,
20160104,9:31:38.359077,Q,DORM,,@F,100,46.74,,00,30294,N,
20160104,9:31:38.399974,Q,DORM,,@F,100,46.74,,00,30305,N,
20160104,9:31:38.497256,P,DORM,,@F,100,46.73,,00,30328,N,
20160104,9:31:38.518972,D,DORM,,,100,46.74,,00,30331,N,N
20160104,9:31:48.662320,D,DORM,,,100,46.75,,00,31689,N,Q
20160104,9:31:48.686969,D,DORM,,,100,46.94,,00,31691,N,Q
20160104,9:31:48.700441,D,DORM,,,100,46.75,,00,31692,N,Q
20160104,9:31:51.230380,Q,DORM,,@F,100,46.75,,00,32062,N,
20160104,9:32:09.668006,P,DORM,,@F,100,46.74,,00,34721,N,
20160104,9:32:33.226962,Q,DORM,,@F I,73,46.74,,00,37648,N,
20160104,9:32:33.270148,P,DORM,,,100,46.74,,00,37650,N,
20160104,9:32:33.271769,Q,DORM,,@F I,27,46.74,,00,37651,N,
20160104,9:32:33.272624,P,DORM,,@F I,73,46.74,,00,37652,N,
20160104,9:32:51.230506,Q,DORM,,,100,46.74,,00,39685,N,
20160104,9:32:51.231458,P,DORM,,I,27,46.74,,00,39686,N,
20160104,9:32:51.248688,Q,DORM,,@F,100,46.73,,00,39689,N,
20160104,9:32:51.249641,P,DORM,,,100,46.73,,00,39691,N,
