time	price	ask	bid	equl	spread
2016-01-05 10:01:00	46.51	46.64	46.3	46.47	0.34
2016-01-05 10:01:20	46.46	46.55	46.44	46.495	0.11
2016-01-05 10:01:25	46.4401	46.64	46.3	46.47	0.34
2016-01-05 10:01:30	46.47	46.51	46.41	46.46	0.1
2016-01-05 10:01:55	46.42	46.64	46.18	46.41	0.46
2016-01-05 10:03:00	46.35	46.65	46.08	46.365	0.57
2016-01-05 10:03:25	46.33	46.44	45.9	46.17	0.54
2016-01-05 10:04:40	46.42	46.42	46.09	46.255	0.33
2016-01-05 10:04:50	46.38	46.64	46.08	46.36	0.56
2016-01-05 10:05:30	46.45	46.65	46.27	46.46	0.38
2016-01-05 10:05:45	46.42	46.46	46.32	46.39	0.14
2016-01-05 10:05:50	46.36	46.48	46.36	46.42	0.12
2016-01-05 10:06:50	46.41	46.49	46.36	46.425	0.13
2016-01-05 10:08:35	46.41	46.45	46.09	46.27	0.36
2016-01-05 10:09:40	46.45	46.47	46.4	46.435	0.07
2016-01-05 10:11:25	46.44	46.48	46.41	46.445	0.07
2016-01-05 10:12:00	46.42	46.6	46.09	46.345	0.51
2016-01-05 10:12:20	46.4201	46.48	46.42	46.45	0.06
2016-01-05 10:12:55	46.48	46.52	46.44	46.48	0.08
2016-01-05 10:13:30	46.49	46.7	46.4	46.55	0.3
2016-01-05 10:14:00	46.46	46.5	46.45	46.475	0.05
2016-01-05 10:14:40	46.5	46.73	46.46	46.595	0.27
2016-01-05 10:15:05	46.52	46.59	46.35	46.47	0.24
2016-01-05 10:15:20	46.5	46.55	46.31	46.43	0.24
2016-01-05 10:15:25	46.51	46.7	46.35	46.525	0.35
2016-01-05 10:15:55	46.53	46.58	46.48	46.53	0.1
2016-01-05 10:16:00	46.56	46.66	46.36	46.51	0.3
2016-01-05 10:16:50	46.6	46.65	46.53	46.59	0.12
2016-01-05 10:17:30	46.6	46.8	46.53	46.665	0.27
2016-01-05 10:17:35	46.53	46.68	46.4	46.54	0.28
2016-01-05 10:19:00	46.55	46.59	46.49	46.54	0.1
2016-01-05 10:20:05	46.49	46.57	46.48	46.525	0.09
2016-01-05 10:21:05	46.55	46.8	46.21	46.505	0.59
2016-01-05 10:21:45	46.54	46.8	46.22	46.51	0.58
2016-01-05 10:22:10	46.51	46.54	46.48	46.51	0.06
2016-01-05 10:22:45	46.54	46.65	46.48	46.565	0.17
2016-01-05 10:23:20	46.48	46.51	46.31	46.41	0.2
2016-01-05 10:23:25	46.45	46.51	46.41	46.46	0.1
2016-01-05 10:23:35	46.5	46.61	46.35	46.48	0.26
2016-01-05 10:24:05	46.46	46.6	46.46	46.53	0.14
2016-01-05 10:24:15	46.47	46.55	46.44	46.495	0.11
2016-01-05 10:24:45	46.55	46.55	46.45	46.5	0.1
2016-01-05 10:24:50	46.52	46.55	46.51	46.53	0.04
2016-01-05 10:25:00	46.55	46.6	46.5	46.55	0.1
2016-01-05 10:25:15	46.52	46.57	46.36	46.465	0.21
2016-01-05 10:27:20	46.51	46.54	46.43	46.485	0.11
2016-01-05 10:28:00	46.46	46.61	46.36	46.485	0.25
2016-01-05 10:28:25	46.46	46.8	46.46	46.63	0.34
2016-01-05 10:29:10	46.4874	46.51	46.36	46.435	0.15
2016-01-05 10:29:55	46.51	46.56	46.2	46.38	0.36
2016-01-05 10:30:05	46.47	46.52	46.47	46.495	0.05
2016-01-05 10:30:15	46.47	46.52	46.47	46.495	0.05
2016-01-05 10:32:05	46.52	46.56	46.2	46.38	0.36
2016-01-05 10:32:10	46.56	46.71	46.32	46.515	0.39
2016-01-05 10:32:35	46.55	46.61	46.49	46.55	0.12
2016-01-05 10:32:45	46.56	46.6	46.52	46.56	0.08
2016-01-05 10:32:55	46.58	46.61	46.55	46.58	0.06
2016-01-05 10:34:55	46.58	46.61	46.53	46.57	0.08
2016-01-05 10:35:00	46.57	46.6	46.56	46.58	0.04
2016-01-05 10:35:05	46.6	46.61	46.52	46.565	0.09
