,time,price
0,2018-01-04 10:00:00,46.86
1,2018-01-04 10:00:10,46.75
2,2018-01-04 10:00:20,46.58
6,2018-01-04 10:01:00,46.51
8,2018-01-04 10:01:20,46.485
9,2018-01-04 10:01:30,46.47
12,2018-01-04 10:02:00,46.42
13,2018-01-04 10:02:10,46.525
15,2018-01-04 10:02:30,46.52
18,2018-01-04 10:03:00,46.35
19,2018-01-04 10:03:10,46.4701
20,2018-01-04 10:03:20,46.33
24,2018-01-04 10:04:00,46.59
25,2018-01-04 10:04:10,46.61
26,2018-01-04 10:04:20,46.61
27,2018-01-04 10:04:30,46.58
28,2018-01-04 10:04:40,46.42
29,2018-01-04 10:04:50,46.38
30,2018-01-04 10:05:00,46.56
31,2018-01-04 10:05:10,46.61
33,2018-01-04 10:05:30,46.45
34,2018-01-04 10:05:40,46.42
35,2018-01-04 10:05:50,46.36
40,2018-01-04 10:06:40,46.65
41,2018-01-04 10:06:50,46.41
48,2018-01-04 10:08:00,46.6
49,2018-01-04 10:08:10,46.65
52,2018-01-04 10:08:40,46.41
54,2018-01-04 10:09:00,46.57
56,2018-01-04 10:09:20,46.62
57,2018-01-04 10:09:30,46.63
58,2018-01-04 10:09:40,46.45
60,2018-01-04 10:10:00,46.7
61,2018-01-04 10:10:10,46.65
62,2018-01-04 10:10:20,46.64
68,2018-01-04 10:11:20,46.63
69,2018-01-04 10:11:30,46.44
70,2018-01-04 10:11:40,46.64
72,2018-01-04 10:12:00,46.42
74,2018-01-04 10:12:20,46.4201
76,2018-01-04 10:12:40,46.59
78,2018-01-04 10:13:00,46.48
79,2018-01-04 10:13:10,46.59
80,2018-01-04 10:13:20,46.61
81,2018-01-04 10:13:30,46.49
84,2018-01-04 10:14:00,46.46
86,2018-01-04 10:14:20,46.4975
87,2018-01-04 10:14:30,46.51
88,2018-01-04 10:14:40,46.5
91,2018-01-04 10:15:10,46.52
92,2018-01-04 10:15:20,46.5
93,2018-01-04 10:15:30,46.51
95,2018-01-04 10:15:50,46.53
96,2018-01-04 10:16:00,46.56
101,2018-01-04 10:16:50,46.6
105,2018-01-04 10:17:30,46.53
106,2018-01-04 10:17:40,46.77
109,2018-01-04 10:18:10,46.7
113,2018-01-04 10:18:50,46.7
114,2018-01-04 10:19:00,46.55
115,2018-01-04 10:19:10,46.69
116,2018-01-04 10:19:20,46.72
120,2018-01-04 10:20:00,46.49
124,2018-01-04 10:20:40,46.85
125,2018-01-04 10:20:50,46.86
126,2018-01-04 10:21:00,46.87
127,2018-01-04 10:21:10,46.55
128,2018-01-04 10:21:20,46.91
130,2018-01-04 10:21:40,46.54
131,2018-01-04 10:21:50,46.91
133,2018-01-04 10:22:10,46.51
135,2018-01-04 10:22:30,46.645
136,2018-01-04 10:22:40,46.67
137,2018-01-04 10:22:50,46.54
140,2018-01-04 10:23:20,46.45
141,2018-01-04 10:23:30,46.5
144,2018-01-04 10:24:00,46.58
145,2018-01-04 10:24:10,46.47
148,2018-01-04 10:24:40,46.55
149,2018-01-04 10:24:50,46.52
150,2018-01-04 10:25:00,46.55
152,2018-01-04 10:25:20,46.52
154,2018-01-04 10:25:40,46.64
157,2018-01-04 10:26:10,46.73
164,2018-01-04 10:27:20,46.51
168,2018-01-04 10:28:00,46.46
170,2018-01-04 10:28:20,46.46
174,2018-01-04 10:29:00,46.645
175,2018-01-04 10:29:10,46.4874
177,2018-01-04 10:29:30,46.6
180,2018-01-04 10:30:00,46.47
182,2018-01-04 10:30:20,46.47
185,2018-01-04 10:30:50,46.52
186,2018-01-04 10:31:00,46.54
192,2018-01-04 10:32:00,46.46
193,2018-01-04 10:32:10,46.56
196,2018-01-04 10:32:40,46.55
197,2018-01-04 10:32:50,46.58
200,2018-01-04 10:33:20,46.48
203,2018-01-04 10:33:50,46.41
206,2018-01-04 10:34:20,46.41
210,2018-01-04 10:35:00,46.5864
211,2018-01-04 10:35:10,46.56
212,2018-01-04 10:35:20,46.51
221,2018-01-04 10:36:50,46.553999999999995
224,2018-01-04 10:37:20,46.35
228,2018-01-04 10:38:00,46.64
230,2018-01-04 10:38:20,46.4
232,2018-01-04 10:38:40,46.41
234,2018-01-04 10:39:00,46.42
235,2018-01-04 10:39:10,46.45
239,2018-01-04 10:39:50,46.48
240,2018-01-04 10:40:00,46.7
242,2018-01-04 10:40:20,46.7
244,2018-01-04 10:40:40,46.4
245,2018-01-04 10:40:50,46.74
249,2018-01-04 10:41:30,46.75
250,2018-01-04 10:41:40,46.696000000000005
251,2018-01-04 10:41:50,46.75
252,2018-01-04 10:42:00,46.73
255,2018-01-04 10:42:30,46.46
256,2018-01-04 10:42:40,46.71
259,2018-01-04 10:43:10,46.72
260,2018-01-04 10:43:20,46.735
261,2018-01-04 10:43:30,46.72
262,2018-01-04 10:43:40,46.6701
264,2018-01-04 10:44:00,46.6
265,2018-01-04 10:44:10,46.75
266,2018-01-04 10:44:20,46.6
267,2018-01-04 10:44:30,46.58
269,2018-01-04 10:44:50,46.76
271,2018-01-04 10:45:10,46.74
272,2018-01-04 10:45:20,46.8
274,2018-01-04 10:45:40,46.81
275,2018-01-04 10:45:50,46.55
276,2018-01-04 10:46:00,46.55
277,2018-01-04 10:46:10,46.8
278,2018-01-04 10:46:20,46.56
279,2018-01-04 10:46:30,46.83
280,2018-01-04 10:46:40,46.81
282,2018-01-04 10:47:00,46.87
285,2018-01-04 10:47:30,46.505
290,2018-01-04 10:48:20,46.59
293,2018-01-04 10:48:50,46.89
295,2018-01-04 10:49:10,46.9
296,2018-01-04 10:49:20,46.89
297,2018-01-04 10:49:30,46.935
298,2018-01-04 10:49:40,46.98
304,2018-01-04 10:50:40,46.975
311,2018-01-04 10:51:50,46.62
312,2018-01-04 10:52:00,47.02
314,2018-01-04 10:52:20,46.55
315,2018-01-04 10:52:30,46.55
318,2018-01-04 10:53:00,46.56
321,2018-01-04 10:53:30,47.005
322,2018-01-04 10:53:40,46.576
323,2018-01-04 10:53:50,46.55
326,2018-01-04 10:54:20,46.53
329,2018-01-04 10:54:50,46.54
330,2018-01-04 10:55:00,46.97
332,2018-01-04 10:55:20,46.96
333,2018-01-04 10:55:30,46.95
334,2018-01-04 10:55:40,46.52
336,2018-01-04 10:56:00,46.94
337,2018-01-04 10:56:10,46.89
339,2018-01-04 10:56:30,46.865
342,2018-01-04 10:57:00,46.82
345,2018-01-04 10:57:30,46.87
346,2018-01-04 10:57:40,46.825
350,2018-01-04 10:58:20,46.8692
355,2018-01-04 10:59:10,46.9588
358,2018-01-04 10:59:40,46.82
362,2018-01-04 11:00:20,46.44
365,2018-01-04 11:00:50,46.89
366,2018-01-04 11:01:00,46.855
370,2018-01-04 11:01:40,46.43
371,2018-01-04 11:01:50,46.845
372,2018-01-04 11:02:00,46.44
375,2018-01-04 11:02:30,46.81
377,2018-01-04 11:02:50,46.74
378,2018-01-04 11:03:00,46.72
379,2018-01-04 11:03:10,46.72
380,2018-01-04 11:03:20,46.74
381,2018-01-04 11:03:30,46.76
382,2018-01-04 11:03:40,46.82
384,2018-01-04 11:04:00,46.84
389,2018-01-04 11:04:50,46.36
393,2018-01-04 11:05:30,46.35
394,2018-01-04 11:05:40,46.33
395,2018-01-04 11:05:50,46.36
396,2018-01-04 11:06:00,46.84
397,2018-01-04 11:06:10,46.88
399,2018-01-04 11:06:30,46.32
400,2018-01-04 11:06:40,46.83
401,2018-01-04 11:06:50,46.83
402,2018-01-04 11:07:00,46.83
403,2018-01-04 11:07:10,46.81
404,2018-01-04 11:07:20,46.32
405,2018-01-04 11:07:30,46.32
406,2018-01-04 11:07:40,46.83
408,2018-01-04 11:08:00,46.3
409,2018-01-04 11:08:10,46.33
410,2018-01-04 11:08:20,46.77
411,2018-01-04 11:08:30,46.81
412,2018-01-04 11:08:40,46.31
414,2018-01-04 11:09:00,46.78
415,2018-01-04 11:09:10,46.78
417,2018-01-04 11:09:30,46.31
418,2018-01-04 11:09:40,46.3
